comment,cleaned_comment,case_folding,slang_check,tokenize,stopword_removal,stemming
Pejabat enak aja. uang negara di embat (dikorupsi) .masyarakat untuk beli kebutuhan pokok harga naik terus.  untuk makan sehari hari saja pusing.......,Pejabat enak aja uang negara di embat dikorupsi masyarakat untuk beli kebutuhan pokok harga naik terus  untuk makan sehari hari saja pusing,pejabat enak aja uang negara di embat dikorupsi masyarakat untuk beli kebutuhan pokok harga naik terus untuk makan sehari hari saja pusing,pejabat enak aja uang negara di embat dikorupsi masyarakat untuk beli kebutuhan pokok harga naik terus untuk makan sehari hari saja pusing,"['pejabat', 'enak', 'aja', 'uang', 'negara', 'di', 'embat', 'dikorupsi', 'masyarakat', 'untuk', 'beli', 'kebutuhan', 'pokok', 'harga', 'naik', 'terus', 'untuk', 'makan', 'sehari', 'hari', 'saja', 'pusing']","['pejabat', 'enak', 'dikorupsi', 'beli', 'kebutuhan', 'harga', 'sehari', 'pusing']",jabat enak korupsi beli butuh harga hari pusing
Perjuangan berat Presiden baru,Perjuangan berat Presiden baru,perjuangan berat presiden baru,perjuangan berat presiden baru,"['perjuangan', 'berat', 'presiden', 'baru']","['perjuangan', 'presiden']",juang presiden
IKN lebih penting..,IKN lebih penting,ikn lebih penting,ibu kota nusantara lebih penting,"['ibu', 'kota', 'nusantara', 'lebih', 'penting']","['kota', 'nusantara']",kota nusantara
SEJAK JAMAN DULU INCOME PERKAPITA SAK ITEEL . BEDANYA SEKARANG SEMUA ORANG PUNYA HP. DULU PUNYA RADIO SUDAH KAYA,SEJAK JAMAN DULU INCOME PERKAPITA SAK ITEEL  BEDANYA SEKARANG SEMUA ORANG PUNYA HP DULU PUNYA RADIO SUDAH KAYA,sejak jaman dulu income perkapita sak iteel bedanya sekarang semua orang punya hp dulu punya radio sudah kaya,sejak jaman dulu income perkapita sak iteel bedanya sekarang semua orang punya gadget dulu punya radio sudah kaya,"['sejak', 'jaman', 'dulu', 'income', 'perkapita', 'sak', 'iteel', 'bedanya', 'sekarang', 'semua', 'orang', 'punya', 'gadget', 'dulu', 'punya', 'radio', 'sudah', 'kaya']","['income', 'perkapita', 'bedanya', 'gadget', 'radio']",income kapita beda gadget radio
Yaudah lah.. gak usah pusing² mikirin keadaan negara ini. Kemiskinan mmg sdh direncanakan. Tinggal nungguin makan siang gratis. bansos. bantuan utk korban judol. Maen judi aja dibantuin kok sm pemerintah. Ok gas. ok gas. jogetin aja.. #HANCUR,Yaudah lah gak usah pusing mikirin keadaan negara ini Kemiskinan mmg sdh direncanakan Tinggal nungguin makan siang gratis bansos bantuan utk korban judol Maen judi aja dibantuin kok sm pemerintah Ok gas ok gas jogetin aja HANCUR,yaudah lah gak usah pusing mikirin keadaan negara ini kemiskinan mmg sdh direncanakan tinggal nungguin makan siang gratis bansos bantuan utk korban judol maen judi aja dibantuin kok sm pemerintah ok gas ok gas jogetin aja hancur,yaudah lah tidak usah pusing mikirin keadaan negara ini kemiskinan mmg sudah direncanakan tinggal nungguin makan siang gratis bansos bantuan untuk korban judol maen judi aja dibantuin kok sm pemerintah ok gas ok gas jogetin aja hancur,"['yaudah', 'lah', 'tidak', 'usah', 'pusing', 'mikirin', 'keadaan', 'negara', 'ini', 'kemiskinan', 'mmg', 'sudah', 'direncanakan', 'tinggal', 'nungguin', 'makan', 'siang', 'gratis', 'bansos', 'bantuan', 'untuk', 'korban', 'judol', 'maen', 'judi', 'aja', 'dibantuin', 'kok', 'sm', 'pemerintah', 'ok', 'gas', 'ok', 'gas', 'jogetin', 'aja', 'hancur']","['pusing', 'kemiskinan', 'direncanakan', 'nungguin', 'gratis', 'bansos', 'bantuan', 'korban', 'judol', 'judi', 'dibantuin', 'jogetin', 'hancur']",pusing miskin rencana nungguin gratis bansos bantu korban judol judi dibantuin jogetin hancur
Ekonomi semakin maju dalam 10 tahun haahaa,Ekonomi semakin maju dalam  tahun haahaa,ekonomi semakin maju dalam tahun haahaa,ekonomi semakin maju dalam tahun haahaa,"['ekonomi', 'semakin', 'maju', 'dalam', 'tahun', 'haahaa']",['maju'],maju
Cnbc pasti anti pemerintah. Ngga mungkin ekonomi Indonesia jeblog. Pak presiden sudah bilang kalau ekonomi kita kuat dan meroket,Cnbc pasti anti pemerintah Ngga mungkin ekonomi Indonesia jeblog Pak presiden sudah bilang kalau ekonomi kita kuat dan meroket,cnbc pasti anti pemerintah ngga mungkin ekonomi indonesia jeblog pak presiden sudah bilang kalau ekonomi kita kuat dan meroket,cnbc pasti anti pemerintah ngga mungkin ekonomi indonesia jeblog pakai presiden sudah bilang kalau ekonomi kita kuat dan meroket,"['cnbc', 'pasti', 'anti', 'pemerintah', 'ngga', 'mungkin', 'ekonomi', 'indonesia', 'jeblog', 'pakai', 'presiden', 'sudah', 'bilang', 'kalau', 'ekonomi', 'kita', 'kuat', 'dan', 'meroket']","['cnbc', 'anti', 'indonesia', 'jeblog', 'pakai', 'presiden', 'kuat', 'meroket']",cnbc anti indonesia jeblog pakai presiden kuat roket
SRIMULAT mana nih??,SRIMULAT mana nih,srimulat mana nih,srimulat mana nih,"['srimulat', 'mana', 'nih']",['srimulat'],srimulat
dari jamannya viral harun masiku juga udah keliatan jelas nih ekonomi negara lagi ga baik baik aja,dari jamannya viral harun masiku juga udah keliatan jelas nih ekonomi negara lagi ga baik baik aja,dari jamannya viral harun masiku juga udah keliatan jelas nih ekonomi negara lagi ga baik baik aja,dari jamannya viral harun masiku juga udah keliatan jelas nih ekonomi negara lagi ga baik baik aja,"['dari', 'jamannya', 'viral', 'harun', 'masiku', 'juga', 'udah', 'keliatan', 'jelas', 'nih', 'ekonomi', 'negara', 'lagi', 'ga', 'baik', 'baik', 'aja']","['viral', 'harun', 'masiku']",viral harun mas
Udah bermasalah dr sejak covid. sekarang makin susah. Harga naik terus. bisnis sepi. Pemerintah san parpol kerjaannya cm teriak2.  unjuk kekuatan untuk kekuasaan. Korupsi udh ga kebendung.,Udah bermasalah dr sejak covid sekarang makin susah Harga naik terus bisnis sepi Pemerintah san parpol kerjaannya cm teriak  unjuk kekuatan untuk kekuasaan Korupsi udh ga kebendung,udah bermasalah dr sejak covid sekarang makin susah harga naik terus bisnis sepi pemerintah san parpol kerjaannya cm teriak unjuk kekuatan untuk kekuasaan korupsi udh ga kebendung,udah bermasalah dr sejak covid sekarang makin susah harga naik terus bisnis sepi pemerintah san parpol kerjaannya cm teriak unjuk kekuatan untuk kekuasaan korupsi udh ga kebendung,"['udah', 'bermasalah', 'dr', 'sejak', 'covid', 'sekarang', 'makin', 'susah', 'harga', 'naik', 'terus', 'bisnis', 'sepi', 'pemerintah', 'san', 'parpol', 'kerjaannya', 'cm', 'teriak', 'unjuk', 'kekuatan', 'untuk', 'kekuasaan', 'korupsi', 'udh', 'ga', 'kebendung']","['bermasalah', 'covid', 'harga', 'bisnis', 'sepi', 'san', 'parpol', 'kerjaannya', 'teriak', 'unjuk', 'kekuatan', 'kekuasaan', 'korupsi', 'kebendung']",masalah covid harga bisnis sepi san parpol kerja teriak unjuk kuat kuasa korupsi bendung
Semog4 yg buk4n k4um joged Di beri kemudahan rezeki kelanc4r4n urus4n,Semog yg bukn kum joged Di beri kemudahan rezeki kelancrn urusn,semog yg bukn kum joged di beri kemudahan rezeki kelancrn urusn,semog yang bukn kum joged di beri kemudahan rezeki kelancrn urusn,"['semog', 'yang', 'bukn', 'kum', 'joged', 'di', 'beri', 'kemudahan', 'rezeki', 'kelancrn', 'urusn']","['bukn', 'kum', 'joged', 'kemudahan', 'rezeki', 'kelancrn', 'urusn']",bukn kum joged mudah rezeki kelancrn urusn
Ekonomi Indonesia bermasalah. kenapa?? Apakah kurang banyak bantuan ke Palestina? Apakah kurang banyak produk2 luar yg diboikot?? Apakah karena perusahaan2 pro Israel masih ada di Indonesia?? Apakah karena korupsi kurang banyak?,Ekonomi Indonesia bermasalah kenapa Apakah kurang banyak bantuan ke Palestina Apakah kurang banyak produk luar yg diboikot Apakah karena perusahaan pro Israel masih ada di Indonesia Apakah karena korupsi kurang banyak,ekonomi indonesia bermasalah kenapa apakah kurang banyak bantuan ke palestina apakah kurang banyak produk luar yg diboikot apakah karena perusahaan pro israel masih ada di indonesia apakah karena korupsi kurang banyak,ekonomi indonesia bermasalah kenapa apakah kurang banyak bantuan ke palestina apakah kurang banyak produk luar yang diboikot apakah karena perusahaan pro israel masih ada di indonesia apakah karena korupsi kurang banyak,"['ekonomi', 'indonesia', 'bermasalah', 'kenapa', 'apakah', 'kurang', 'banyak', 'bantuan', 'ke', 'palestina', 'apakah', 'kurang', 'banyak', 'produk', 'luar', 'yang', 'diboikot', 'apakah', 'karena', 'perusahaan', 'pro', 'israel', 'masih', 'ada', 'di', 'indonesia', 'apakah', 'karena', 'korupsi', 'kurang', 'banyak']","['indonesia', 'bermasalah', 'bantuan', 'palestina', 'diboikot', 'pro', 'israel', 'indonesia', 'korupsi']",indonesia masalah bantu palestina boikot pro israel indonesia korupsi
Percayalah hal ini udah dikupas tuntas oleh pak Thomas Lembong,Percayalah hal ini udah dikupas tuntas oleh pak Thomas Lembong,percayalah hal ini udah dikupas tuntas oleh pak thomas lembong,percayalah hal ini udah dikupas tuntas oleh pakai thomas lembong,"['percayalah', 'hal', 'ini', 'udah', 'dikupas', 'tuntas', 'oleh', 'pakai', 'thomas', 'lembong']","['dikupas', 'tuntas', 'pakai', 'thomas', 'lembong']",kupas tuntas pakai thomas lembong
ORANG KAYA BELI BARANG MEWAH  IMPORT TAPI JADI PEDAGANG DIDALAM NEGRI 😂😂😂.. ITULAH PENYAKITNYA...,ORANG KAYA BELI BARANG MEWAH  IMPORT TAPI JADI PEDAGANG DIDALAM NEGRI  ITULAH PENYAKITNYA,orang kaya beli barang mewah import tapi jadi pedagang didalam negri itulah penyakitnya,orang kaya beli barang mewah import tapi jadi pedagang didalam negri itulah penyakitnya,"['orang', 'kaya', 'beli', 'barang', 'mewah', 'import', 'tapi', 'jadi', 'pedagang', 'didalam', 'negri', 'itulah', 'penyakitnya']","['beli', 'barang', 'mewah', 'import', 'pedagang', 'didalam', 'negri', 'penyakitnya']",beli barang mewah import dagang dalam negri sakit
Ekonomi Indonesia sangat baik baik saja meningkat terus perekonomianya,Ekonomi Indonesia sangat baik baik saja meningkat terus perekonomianya,ekonomi indonesia sangat baik baik saja meningkat terus perekonomianya,ekonomi indonesia sangat baik baik saja meningkat terus perekonomianya,"['ekonomi', 'indonesia', 'sangat', 'baik', 'baik', 'saja', 'meningkat', 'terus', 'perekonomianya']","['indonesia', 'meningkat', 'perekonomianya']",indonesia tingkat perekonomianya
Ekonomi Baik² saja untuk kantong pejabat tidak untuk kantong rakyat,Ekonomi Baik saja untuk kantong pejabat tidak untuk kantong rakyat,ekonomi baik saja untuk kantong pejabat tidak untuk kantong rakyat,ekonomi baik saja untuk kantong pejabat tidak untuk kantong rakyat,"['ekonomi', 'baik', 'saja', 'untuk', 'kantong', 'pejabat', 'tidak', 'untuk', 'kantong', 'rakyat']","['kantong', 'pejabat', 'kantong']",kantong jabat kantong
Loohhhhh katanya ekonomi meroket.surplus.5.11 persen. Lebih bagus dr seluruh negara di dunia😂😅,Loohhhhh katanya ekonomi meroketsurplus persen Lebih bagus dr seluruh negara di dunia,loohhhhh katanya ekonomi meroketsurplus persen lebih bagus dr seluruh negara di dunia,loohhhhh katanya ekonomi meroketsurplus persen lebih bagus dr seluruh negara di dunia,"['loohhhhh', 'katanya', 'ekonomi', 'meroketsurplus', 'persen', 'lebih', 'bagus', 'dr', 'seluruh', 'negara', 'di', 'dunia']","['loohhhhh', 'meroketsurplus', 'persen', 'dunia']",loohhhhh meroketsurplus persen dunia
Pemerintah bilang aman dan terkendali. dan mainin angka. tujuannya biar investor masuk Lah mslhmya inverstor tdk se tuolol itu kaleee 😂Mereka punya yg namanya surveyor. Alangkah tuolol skali klo dibilang lsng percaya gitu aja ama kata2 manisnya owi 😂,Pemerintah bilang aman dan terkendali dan mainin angka tujuannya biar investor masuk Lah mslhmya inverstor tdk se tuolol itu kaleee Mereka punya yg namanya surveyor Alangkah tuolol skali klo dibilang lsng percaya gitu aja ama kata manisnya owi ,pemerintah bilang aman dan terkendali dan mainin angka tujuannya biar investor masuk lah mslhmya inverstor tdk se tuolol itu kaleee mereka punya yg namanya surveyor alangkah tuolol skali klo dibilang lsng percaya gitu aja ama kata manisnya owi,pemerintah bilang aman dan terkendali dan mainin angka tujuannya biar investor masuk lah mslhmya inverstor tdk se tuolol itu kaleee mereka punya yang namanya surveyor alangkah tuolol skali klo dibilang lsng percaya gitu aja ama kata manisnya owi,"['pemerintah', 'bilang', 'aman', 'dan', 'terkendali', 'dan', 'mainin', 'angka', 'tujuannya', 'biar', 'investor', 'masuk', 'lah', 'mslhmya', 'inverstor', 'tdk', 'se', 'tuolol', 'itu', 'kaleee', 'mereka', 'punya', 'yang', 'namanya', 'surveyor', 'alangkah', 'tuolol', 'skali', 'klo', 'dibilang', 'lsng', 'percaya', 'gitu', 'aja', 'ama', 'kata', 'manisnya', 'owi']","['terkendali', 'tujuannya', 'investor', 'masuk', 'mslhmya', 'inverstor', 'tuolol', 'kaleee', 'namanya', 'surveyor', 'tuolol', 'skali', 'dibilang', 'lsng', 'percaya', 'manisnya', 'owi']",kendali tuju investor masuk mslhmya inverstor tuolol kaleee nama surveyor tuolol skali bilang lsng percaya manis owi
jokowi cuek...lgi mati akal seolah negri ini baik baik saja...ini lah bukti buruknya pemimpin bkn dri trah darah biru tpi dri darah kotor...😂😂😂,jokowi cueklgi mati akal seolah negri ini baik baik saja ini lah bukti buruknya pemimpin bkn dri trah darah biru tpi dri darah kotor,jokowi cueklgi mati akal seolah negri ini baik baik saja ini lah bukti buruknya pemimpin bkn dri trah darah biru tpi dri darah kotor,jokowi cueklgi mati akal seolah negri ini baik baik saja ini lah bukti buruknya pemimpin bkn dari trah darah biru tpi dari darah kotor,"['jokowi', 'cueklgi', 'mati', 'akal', 'seolah', 'negri', 'ini', 'baik', 'baik', 'saja', 'ini', 'lah', 'bukti', 'buruknya', 'pemimpin', 'bkn', 'dari', 'trah', 'darah', 'biru', 'tpi', 'dari', 'darah', 'kotor']","['jokowi', 'cueklgi', 'mati', 'akal', 'negri', 'bukti', 'buruknya', 'pemimpin', 'bkn', 'darah', 'biru', 'darah', 'kotor']",jokowi cueklgi mati akal negri bukti buruk pimpin bkn darah biru darah kotor
Klo dr januari-mei transaksi judi online 100T. Bisa jadi salah satu faktornya adalah judi online. Jd daya beli menurun jauh,Klo dr januarimei transaksi judi online T Bisa jadi salah satu faktornya adalah judi online Jd daya beli menurun jauh,klo dr januarimei transaksi judi online t bisa jadi salah satu faktornya adalah judi online jd daya beli menurun jauh,klo dr januarimei transaksi judi online t bisa jadi salah satu faktornya adalah judi online jadi daya beli menurun jauh,"['klo', 'dr', 'januarimei', 'transaksi', 'judi', 'online', 't', 'bisa', 'jadi', 'salah', 'satu', 'faktornya', 'adalah', 'judi', 'online', 'jadi', 'daya', 'beli', 'menurun', 'jauh']","['januarimei', 'transaksi', 'judi', 'online', 't', 'faktornya', 'judi', 'online', 'beli', 'menurun']",januarimei transaksi judi online t faktor judi online beli turun
Kebalik karena daya beli menurun banyak yang memupuk harapan di judi online,Kebalik karena daya beli menurun banyak yang memupuk harapan di judi online,kebalik karena daya beli menurun banyak yang memupuk harapan di judi online,kebalik karena daya beli menurun banyak yang memupuk harapan di judi online,"['kebalik', 'karena', 'daya', 'beli', 'menurun', 'banyak', 'yang', 'memupuk', 'harapan', 'di', 'judi', 'online']","['beli', 'menurun', 'judi', 'online']",beli turun judi online
Katanya Indonesia didepan. Indonesia juara. Faktanya ekonomi lesu. Rp terhadap dolar melemah. Pemerintah harus membuat kebijakan yang melindungi dan mendorong produksi domestik bukan nya membebaskan barang masuk sebagai mana Permendag yang baru.,Katanya Indonesia didepan Indonesia juara Faktanya ekonomi lesu Rp terhadap dolar melemah Pemerintah harus membuat kebijakan yang melindungi dan mendorong produksi domestik bukan nya membebaskan barang masuk sebagai mana Permendag yang baru,katanya indonesia didepan indonesia juara faktanya ekonomi lesu rp terhadap dolar melemah pemerintah harus membuat kebijakan yang melindungi dan mendorong produksi domestik bukan nya membebaskan barang masuk sebagai mana permendag yang baru,katanya indonesia didepan indonesia juara faktanya ekonomi lesu rp terhadap dolar melemah pemerintah harus membuat kebijakan yang melindungi dan mendorong produksi domestik bukan nya membebaskan barang masuk sebagai mana permendag yang baru,"['katanya', 'indonesia', 'didepan', 'indonesia', 'juara', 'faktanya', 'ekonomi', 'lesu', 'rp', 'terhadap', 'dolar', 'melemah', 'pemerintah', 'harus', 'membuat', 'kebijakan', 'yang', 'melindungi', 'dan', 'mendorong', 'produksi', 'domestik', 'bukan', 'nya', 'membebaskan', 'barang', 'masuk', 'sebagai', 'mana', 'permendag', 'yang', 'baru']","['indonesia', 'didepan', 'indonesia', 'juara', 'faktanya', 'lesu', 'rp', 'dolar', 'melemah', 'kebijakan', 'melindungi', 'mendorong', 'produksi', 'domestik', 'membebaskan', 'barang', 'masuk', 'permendag']",indonesia depan indonesia juara fakta lesu rp dolar lemah bijak lindung dorong produksi domestik bebas barang masuk permendag
Gimana tidak sulit. uda dalam kesulitan masih pada umroh dan keluar negeri jalan2 dan belanja. Padahal uang segitu bisa bangun Indonesia. kalau presiden mau tegas pada rakyat.,Gimana tidak sulit uda dalam kesulitan masih pada umroh dan keluar negeri jalan dan belanja Padahal uang segitu bisa bangun Indonesia kalau presiden mau tegas pada rakyat,gimana tidak sulit uda dalam kesulitan masih pada umroh dan keluar negeri jalan dan belanja padahal uang segitu bisa bangun indonesia kalau presiden mau tegas pada rakyat,gimana tidak sulit uda dalam kesulitan masih pada umroh dan keluar negeri jalan dan belanja padahal uang segitu bisa bangun indonesia kalau presiden ingin tegas pada rakyat,"['gimana', 'tidak', 'sulit', 'uda', 'dalam', 'kesulitan', 'masih', 'pada', 'umroh', 'dan', 'keluar', 'negeri', 'jalan', 'dan', 'belanja', 'padahal', 'uang', 'segitu', 'bisa', 'bangun', 'indonesia', 'kalau', 'presiden', 'ingin', 'tegas', 'pada', 'rakyat']","['sulit', 'uda', 'kesulitan', 'umroh', 'jalan', 'belanja', 'segitu', 'bangun', 'indonesia', 'presiden']",sulit uda sulit umroh jalan belanja segitu bangun indonesia presiden
Goblog dipelihara... kambing tuh dipelihara,Goblog dipelihara kambing tuh dipelihara,goblog dipelihara kambing tuh dipelihara,goblog dipelihara kambing tuh dipelihara,"['goblog', 'dipelihara', 'kambing', 'tuh', 'dipelihara']","['goblog', 'dipelihara', 'kambing', 'dipelihara']",goblog pelihara kambing pelihara
Gimana daya beli ga lesu coba. wong PHK aja dimana-mana kok. Pemerintah sibuk ngurusin IKN dan gimana caranya nutupin APBN yang sudah terpakai (Tapera. PPN 12%. dll),Gimana daya beli ga lesu coba wong PHK aja dimanamana kok Pemerintah sibuk ngurusin IKN dan gimana caranya nutupin APBN yang sudah terpakai Tapera PPN  dll,gimana daya beli ga lesu coba wong phk aja dimanamana kok pemerintah sibuk ngurusin ikn dan gimana caranya nutupin apbn yang sudah terpakai tapera ppn dll,gimana daya beli ga lesu coba wong phk aja dimanamana kok pemerintah sibuk ngurusin ibu kota nusantara dan gimana caranya nutupin apbn yang sudah terpakai tapera ppn dll,"['gimana', 'daya', 'beli', 'ga', 'lesu', 'coba', 'wong', 'phk', 'aja', 'dimanamana', 'kok', 'pemerintah', 'sibuk', 'ngurusin', 'ibu', 'kota', 'nusantara', 'dan', 'gimana', 'caranya', 'nutupin', 'apbn', 'yang', 'sudah', 'terpakai', 'tapera', 'ppn', 'dll']","['beli', 'lesu', 'phk', 'dimanamana', 'ngurusin', 'kota', 'nusantara', 'nutupin', 'apbn', 'terpakai', 'tapera', 'ppn']",beli lesu phk dimanamana ngurusin kota nusantara nutupin apbn pakai tapera ppn
Berarti bener IKN harus stop klau ekonomi mau ancur,Berarti bener IKN harus stop klau ekonomi mau ancur,berarti bener ikn harus stop klau ekonomi mau ancur,berarti bener ibu kota nusantara harus stop klau ekonomi ingin hancur,"['berarti', 'bener', 'ibu', 'kota', 'nusantara', 'harus', 'stop', 'klau', 'ekonomi', 'ingin', 'hancur']","['kota', 'nusantara', 'stop', 'hancur']",kota nusantara stop hancur
HAYOOO PARA PEMUJA KELUARLAH KELUARLAH SUDAH WAKTU NYA JOGEET OK GASS,HAYOOO PARA PEMUJA KELUARLAH KELUARLAH SUDAH WAKTU NYA JOGEET OK GASS,hayooo para pemuja keluarlah keluarlah sudah waktu nya jogeet ok gass,hayooo para pemuja keluarlah keluarlah sudah waktu nya jogeet ok gass,"['hayooo', 'para', 'pemuja', 'keluarlah', 'keluarlah', 'sudah', 'waktu', 'nya', 'jogeet', 'ok', 'gass']","['pemuja', 'jogeet']",puja jogeet
Yang lagi nunggu bom waktu kasih jempol ke atas gan,Yang lagi nunggu bom waktu kasih jempol ke atas gan,yang lagi nunggu bom waktu kasih jempol ke atas gan,yang lagi nunggu bom waktu kasih jempol ke atas gan,"['yang', 'lagi', 'nunggu', 'bom', 'waktu', 'kasih', 'jempol', 'ke', 'atas', 'gan']","['nunggu', 'bom', 'jempol']",nunggu bom jempol
Hal ini lah yg membuat 58% lebih rakyat  indonesia SENANG...dgn memilih keberlanjutan kepemimpinan ke bowo dan anaknya...Jogetiin dikit deh...Oke gas...oke gas....meledak....,Hal ini lah yg membuat  lebih rakyat  indonesia SENANGdgn memilih keberlanjutan kepemimpinan ke bowo dan anaknya Jogetiin dikit deh Oke gasoke gasmeledak,hal ini lah yg membuat lebih rakyat indonesia senangdgn memilih keberlanjutan kepemimpinan ke bowo dan anaknya jogetiin dikit deh oke gasoke gasmeledak,hal ini lah yang membuat lebih rakyat indonesia senangdgn memilih keberlanjutan kepemimpinan ke bowo dan anaknya jogetiin dikit deh oke gasoke gasmeledak,"['hal', 'ini', 'lah', 'yang', 'membuat', 'lebih', 'rakyat', 'indonesia', 'senangdgn', 'memilih', 'keberlanjutan', 'kepemimpinan', 'ke', 'bowo', 'dan', 'anaknya', 'jogetiin', 'dikit', 'deh', 'oke', 'gasoke', 'gasmeledak']","['indonesia', 'senangdgn', 'memilih', 'keberlanjutan', 'kepemimpinan', 'bowo', 'anaknya', 'jogetiin', 'dikit', 'gasoke', 'gasmeledak']",indonesia senangdgn pilih lanjut pimpin bowo anak jogetiin dikit gasoke gasmeledak
Halah ngentod !! Belum juga dilantik dan menjabat . loe nya masih belum bisa move on dari pilpres !!,Halah ngentod  Belum juga dilantik dan menjabat  loe nya masih belum bisa move on dari pilpres ,halah ngentod belum juga dilantik dan menjabat loe nya masih belum bisa move on dari pilpres,halah ngentod belum juga dilantik dan menjabat loe nya masih belum bisa move on dari pilpres,"['halah', 'ngentod', 'belum', 'juga', 'dilantik', 'dan', 'menjabat', 'loe', 'nya', 'masih', 'belum', 'bisa', 'move', 'on', 'dari', 'pilpres']","['ngentod', 'dilantik', 'menjabat', 'move', 'on', 'pilpres']",ngentod lantik jabat move on pilpres
Bisa aja jadi Venezuela klu gk dirawat ekonominya.,Bisa aja jadi Venezuela klu gk dirawat ekonominya,bisa aja jadi venezuela klu gk dirawat ekonominya,bisa aja jadi venezuela klu tidak dirawat ekonominya,"['bisa', 'aja', 'jadi', 'venezuela', 'klu', 'tidak', 'dirawat', 'ekonominya']","['venezuela', 'klu', 'dirawat', 'ekonominya']",venezuela klu rawat ekonomi
Kata penjilat²nya bagi mereka gak berdampak apa² Malah penghasilannya makin nambah. usahanya semakin maju dan meningkat. Semakin meroket...Munafik parah,Kata penjilatnya bagi mereka gak berdampak apa Malah penghasilannya makin nambah usahanya semakin maju dan meningkat Semakin meroket Munafik parah,kata penjilatnya bagi mereka gak berdampak apa malah penghasilannya makin nambah usahanya semakin maju dan meningkat semakin meroket munafik parah,kata penjilatnya bagi mereka tidak berdampak apa malah penghasilannya makin nambah usahanya semakin maju dan meningkat semakin meroket munafik parah,"['kata', 'penjilatnya', 'bagi', 'mereka', 'tidak', 'berdampak', 'apa', 'malah', 'penghasilannya', 'makin', 'nambah', 'usahanya', 'semakin', 'maju', 'dan', 'meningkat', 'semakin', 'meroket', 'munafik', 'parah']","['penjilatnya', 'berdampak', 'penghasilannya', 'nambah', 'usahanya', 'maju', 'meningkat', 'meroket', 'munafik']",jilat dampak hasil nambah usaha maju tingkat roket munafik
Sebenar benarnya dlm masalah...trus ada juga usul sinting utk menyantuni korban judol yg bundir krn judi😂😂😂 knp gk ikut nyantuni pensiunan dan korban PHK ?? Sdh masuk krisis dan zaman sinting😂😂😂,Sebenar benarnya dlm masalahtrus ada juga usul sinting utk menyantuni korban judol yg bundir krn judi knp gk ikut nyantuni pensiunan dan korban PHK  Sdh masuk krisis dan zaman sinting,sebenar benarnya dlm masalahtrus ada juga usul sinting utk menyantuni korban judol yg bundir krn judi knp gk ikut nyantuni pensiunan dan korban phk sdh masuk krisis dan zaman sinting,sebenar benarnya dlm masalahtrus ada juga usul sinting untuk menyantuni korban judol yang bundir karena judi knp tidak ikut nyantuni pensiunan dan korban phk sudah masuk krisis dan zaman sinting,"['sebenar', 'benarnya', 'dlm', 'masalahtrus', 'ada', 'juga', 'usul', 'sinting', 'untuk', 'menyantuni', 'korban', 'judol', 'yang', 'bundir', 'karena', 'judi', 'knp', 'tidak', 'ikut', 'nyantuni', 'pensiunan', 'dan', 'korban', 'phk', 'sudah', 'masuk', 'krisis', 'dan', 'zaman', 'sinting']","['sebenar', 'benarnya', 'masalahtrus', 'usul', 'sinting', 'menyantuni', 'korban', 'judol', 'bundir', 'judi', 'knp', 'nyantuni', 'pensiunan', 'korban', 'phk', 'masuk', 'zaman', 'sinting']",benar benar masalahtrus usul sinting santun korban judol bundir judi knp nyantuni pensiun korban phk masuk zaman sinting
Padahal rakyat susahnya minta ampun.setengah bangkrut.yg penting dpt jatah dari online,Padahal rakyat susahnya minta ampunsetengah bangkrutyg penting dpt jatah dari online,padahal rakyat susahnya minta ampunsetengah bangkrutyg penting dpt jatah dari online,padahal rakyat susahnya minta ampunsetengah bangkrutyg penting dpt jatah dari online,"['padahal', 'rakyat', 'susahnya', 'minta', 'ampunsetengah', 'bangkrutyg', 'penting', 'dpt', 'jatah', 'dari', 'online']","['susahnya', 'ampunsetengah', 'bangkrutyg', 'jatah', 'online']",susah ampunsetengah bangkrutyg jatah online
Knp ekonomi RI bermasalah salah satux  petani terjajah oleh lapitalsme.salam hikmah,Knp ekonomi RI bermasalah salah satux  petani terjajah oleh lapitalsmesalam hikmah,knp ekonomi ri bermasalah salah satux petani terjajah oleh lapitalsmesalam hikmah,knp ekonomi ri bermasalah salah satux petani terjajah oleh lapitalsmesalam hikmah,"['knp', 'ekonomi', 'ri', 'bermasalah', 'salah', 'satux', 'petani', 'terjajah', 'oleh', 'lapitalsmesalam', 'hikmah']","['knp', 'ri', 'bermasalah', 'satux', 'petani', 'terjajah', 'lapitalsmesalam']",knp ri masalah satux tani jajah lapitalsmesalam
Kita harus cepat menyaring berita dari media barat,Kita harus cepat menyaring berita dari media barat,kita harus cepat menyaring berita dari media barat,kita harus cepat menyaring berita dari media barat,"['kita', 'harus', 'cepat', 'menyaring', 'berita', 'dari', 'media', 'barat']","['cepat', 'menyaring', 'berita', 'barat']",cepat nyaring berita barat
Pemrintah “MASIH LEBIH BAIK”,Pemrintah MASIH LEBIH BAIK,pemrintah masih lebih baik,pemrintah masih lebih baik,"['pemrintah', 'masih', 'lebih', 'baik']",['pemrintah'],pemrintah
